적재_연월,대여_STATION_번호,대여_STATION_명,X축좌표,Y축좌표,대여소_설치일,대여소_폐쇄일,거치대_수,운영여부,시스템_구분
20251219,SJ_00097,고운동_가락612동건너편,127.238061,36.502561,,,,운영중,
20251219,SJ_00098,고운동_가락704동앞,127.2381265,36.5045926,,,,운영중,
20251219,SJ_00099,고운동_그랜드프라자앞,127.233817,36.505251,,,,운영중,
20251219,SJ_00100,고운동_가락303동앞,127.236700,36.506601,,,,운영중,
20251219,SJ_00101,고운동_고운중학교,127.237259,36.506298,,,,운영중,
20251219,SJ_00102,고운동_고운중 버스정류장,127.237513,36.506158,,,,운영중,
20251219,SJ_00103,고운동_가락801동앞,127.239389,36.507022,,,,운영중,
20251219,SJ_00276,어진동_세종파이낸스3차 건너편,127.260151,36.497901,,,,운영중,
20251219,SJ_00277,어진동_엘큐브리빙앞,127.262751,36.496759,,,,운영중,
20251219,SJ_00278,어진동_푸르지오시티앞,127.2634975,36.4960608,,,,운영중,
20251219,SJ_00279,어진동_세종비지니스센터빌딩 건너편,127.265634,36.496111,,,,운영중,
20251219,SJ_00280,보람동_세종시청 동편,127.289957,36.480167,,,,운영중,
20251219,SJ_00281,어진동_문화체육관광부(15동-3),127.2655685,36.4983376,,,,운영중,
20251219,SJ_00282,어진동_교육부(14동-1),127.264713,36.499512,,,,운영중,
20251219,SJ_00283,어진동_보건복지부(10동-1),127.262309,36.501980,,,,운영중,
20251219,SJ_00286,어진동_정부세종청사 중앙동 건너편 정류장,127.2660004,36.5014588,,,,운영중,
20251219,SJ_00287,어진동_국토교통부 북문,127.263429,36.506202,,,,운영중,
20251219,SJ_00288,어진동_공정거래위원회(2동-2),127.2674638,36.5045194,,,,운영중,
20251219,SJ_00289,어진동_세종대성고등학교,127.2560059,36.4969742,,,,운영중,
20251219,SJ_00290,어진동_홈플러스건너편,127.258432,36.508184,,,,운영중,
20251219,SJ_00291,도담동_늘봄초등학교,127.255454,36.513898,,,,운영중,
20251219,SJ_00292,도담동_도램2004동건너편,127.264262,36.519649,,,,운영중,
20251219,SJ_00293,세종동_원수산MTB공원,127.267301,36.522272,,,,운영중,
20251219,SJ_00294,도담동_도램1901동앞,127.266065,36.515344,,,,운영중,
20251219,SJ_00295,어진동_한뜰302동앞,127.2734994,36.505745,,,,운영중,
20251219,SJ_00373,아름동_범지기1203동앞,127.250465,36.512819,,,,운영중,
20251219,SJ_00375,어진동_호수공원소나무숲길,127.2697315,36.499937,,,,운영중,
20251219,SJ_00376,아름동_범지기806동앞,127.250704,36.514970,,,,운영중,
20251219,SJ_00377,어진동_대통령기록관건너편1,127.272031,36.501221,,,,운영중,
20251219,SJ_00378,어진동_대통령기록관건너편2,127.272229,36.501324,,,,운영중,
20251219,SJ_00379,어진동_대통령기록관건너편3,127.272159,36.501506,,,,운영중,
20251219,SJ_00380,세종동_호수공원중앙수목원로,127.2769607,36.5022281,,,,운영중,
20251219,SJ_00381,어진동_홈플러스건너편스포츠센터옆,127.257419,36.507592,,,,운영중,
20251219,SJ_00382,다정동_당암육교건너편,127.232544,36.499407,,,,운영중,
20251219,SJ_00384,대평동_코스트코입구건너편,127.268355,36.468184,,,,운영중,
20251219,SJ_00385,나성동_국세청앞 BRT,127.2593506,36.4848189,,,,운영중,
20251219,SJ_00386,나성동_국세청앞,127.259082,36.4851219,,,,운영중,
20251219,SJ_00387,나성동_세종SJ타워앞,127.257664,36.486458,,,,운영중,
20251219,SJ_00388,나성동_에스빌딩앞,127.257465,36.486861,,,,운영중,
20251219,SJ_00389,나성동_BRT앞,127.257111,36.487465,,,,운영중,
20251219,SJ_00390,나성동_행복의아침 빌딩,127.256734,36.490240,,,,운영중,
20251219,SJ_00391,어진동_세종뱅크빌딩,127.256886,36.495246,,,,운영중,
20251219,SJ_00392,어진동_세종뱅크빌딩2,127.257046,36.495686,,,,운영중,
20251219,SJ_00393,나성동_다정교,127.2563306,36.4945267,,,,운영중,
20251219,SJ_00394,어진동_세종뱅크빌딩 건너편,127.256610,36.496023,,,,운영중,
20251219,SJ_00395,도담동_도램1107동앞,127.259576,36.513555,,,,운영중,
20251219,SJ_00425,조치원_고용노동부 ,127.303453,36.601647,,,,운영중,
20251219,SJ_00426,조치원_삼일아파트,127.297280,36.594918,,,,운영중,
20251219,SJ_00427,조치원_신흥리_조치원중학교 앞,127.286650,36.594851,,,,운영중,
20251219,SJ_00428,조치원_욱일아파트,127.289963,36.602844,,,,운영중,
20251219,SJ_00429,조치원_조치원역 서편,127.2949988,36.60178608,,,,운영중,
20251219,SJ_00430,조치원_세종서창행복주택,127.296809,36.610198,,,,운영중,
20251219,SJ_00431,조치원_홍익대학교 정문,127.290559,36.621048,,,,운영중,
20251219,SJ_00432,조치원_중앙요양병원,127.288727,36.614142,,,,운영중,
20251219,SJ_00433,고운동_가락 908동,127.2293764,36.5120567,,,,운영중,
20251219,SJ_00434,새롬동_에스월드빌딩,127.250358,36.485350,,,,운영중,
20251219,SJ_00435,새롬동_새뜸 418동,127.245599,36.489613,,,,운영중,
20251219,SJ_00436,고운동_가락 111동,127.234777,36.504293,,,,운영중,
20251219,SJ_00437,어진동_정부세종청사버스터미널BRT3,127.261514,36.504309,,,,운영중,
20251219,SJ_00438,반곡동_수루배619동,127.3179629,36.4947974,,,,운영중,
20251219,SJ_00129,고운동_가락1604동앞,127.239129,36.515410,,,,운영중,
20251219,SJ_00130,고운동_가락810동건너편,127.239969,36.508943,,,,운영중,
20251219,SJ_00131,고운동_가락810동앞,127.240092,36.508769,,,,운영중,
20251219,SJ_00132,고운동_한옥마을건너편1,127.239786,36.510795,,,,운영중,
20251219,SJ_00133,고운동_한옥마을건너편2,127.239665,36.510333,,,,운영중,
20251219,SJ_00134,고운동_한옥마을앞,127.239400,36.510443,,,,운영중,
20251219,SJ_00135,종촌동_가재102동앞,127.243793,36.501713,,,,운영중,
20251219,SJ_00136,종촌동_가재303동앞,127.241406,36.503886,,,,운영중,
20251219,SJ_00137,종촌동_가재310동앞,127.243896,36.505023,,,,운영중,
20251219,SJ_00138,종촌동_가재403동앞,127.244961,36.505519,,,,운영중,
20251219,SJ_00139,종촌동_가재502동앞,127.246239,36.499491,,,,운영중,
20251219,SJ_00140,다정동_가온605동앞 공원,127.247137,36.499098,,,,운영중,
20251219,SJ_00141,종촌동_종촌중학교,127.246085,36.502060,,,,운영중,
20251219,SJ_00325,어진동_건설청건너편BRT2,127.261377,36.505350,,,,운영중,
20251219,SJ_00326,어진동_세종포스트 빌딩 옆 BRT,127.261554,36.507543,,,,운영중,
20251219,SJ_00327,도담동_도램803동앞BRT,127.259691,36.511538,,,,운영중,
20251219,SJ_00328,새롬동_크리스마스빌딩앞,127.252138,36.484322,,,,운영중,
20251219,SJ_00329,도담동_한신휴시티우측,127.258871,36.514066,,,,운영중,
20251219,SJ_00330,도담동_도램상가앞BRT2,127.258780,36.514595,,,,운영중,
20251219,SJ_00331,새롬동_새롬고북측,127.248985,36.486916,,,,운영중,
20251219,SJ_00332,다정동_가온214동,127.240966,36.493701,,,,운영중,
20251219,SJ_00333,다정동_가온210동앞 공원,127.242918,36.494065,,,,운영중,
20251219,SJ_00334,다정동_별찌뜰근린공원,127.239875,36.499373,,,,운영중,
20251219,SJ_00335,도담동_도램1002동앞BRT,127.260075,36.511757,,,,운영중,
20251219,SJ_00336,어진동_건설청앞BRT,127.261902,36.505376,,,,운영중,
20251219,SJ_00587,나성동_나릿재6단지 정문 옆(도로변),127.261278,36.491620,,,,운영중,
20251219,SJ_00588,나성동_나릿재6단지,127.262421,36.492160,,,,운영중,
20251219,SJ_00589,나성동_나릿재309동 앞,127.263648,36.488571,,,,운영중,
20251219,SJ_00590,나성동_나릿재304동 앞,127.261210,36.488866,,,,운영중,
20251219,SJ_00591,나성동_리치먼드시티 앞,127.256584,36.492734,,,,운영중,
20251219,SJ_00600,어진동_한뜰마을601동 앞,127.258921,36.495390,,,,운영중,
20251219,SJ_00601,어진동_한뜰마을604동앞,127.261280,36.494068,,,,운영중,
20251219,SJ_00602,어진동_해양수산부_농림축산식품부(5동-1) 로터리,127.2650661,36.505699,,,,운영중,
20251219,SJ_00603,세종동_국립수목원연구동 앞 정류장,127.2897209,36.4976707,,,,운영중,
20251219,SJ_00604,조치원_홈플러스 정문,127.297101,36.586551,,,,운영중,
20251219,SJ_00605,반곡동_한국보건사회연구원 대로변쪽,127.306277,36.495141,,,,운영중,
20251219,SJ_00606,보람동_호려울 1010동 앞,127.295203,36.481535,,,,운영중,
20251219,SJ_00607,보람동_호려울 911동 앞,127.295035,36.481002,,,,운영중,
20251219,SJ_00608,집현동_새나루마을 1207동,127.325863,36.501811,,,,운영중,
20251219,SJ_00609,집현동_새나루마을1단지 정문앞 로터리,127.320032,36.485520,,,,운영중,
20251219,SJ_00610,대평동_세종고속시외버스터미널,127.273774,36.469257,,,,운영중,
20251219,SJ_00611,고운동_세종중앙타워,127.241216,36.511640,,,,운영중,
20251219,SJ_00612,고운동_고운프라자,127.234530,36.519433,,,,운영중,
20251219,SJ_00613,고운동_가락2005동 앞,127.241390,36.516053,,,,운영중,
20251219,SJ_00614,집현동_새나루마을 309동 앞 로터리,127.3216596,36.4907476,,,,운영중,
20251219,SJ_00520,조치원_조치원역,127.2979545,36.6011,,,,운영중,
20251219,SJ_00521,조치원_우체국,127.298027,36.602414,,,,운영중,
20251219,SJ_00523,조치원_신흥주공207동,127.290782,36.594882,,,,운영중,
20251219,SJ_00524,조치원_자이아파트119동,127.291523,36.591022,,,,운영중,
20251219,SJ_00525,세종동_양화1교차로종촌교다리,127.299561,36.503421,,,,운영중,
20251219,SJ_00526,소담동_새샘908동,127.301503,36.489072,,,,운영중,
20251219,SJ_00527,소담동_법조타운A,127.302367,36.489461,,,,운영중,
20251219,SJ_00528,반곡동_더스테이빌딩,127.303015,36.490436,,,,운영중,
20251219,SJ_00529,도담동_센트럴프라자,127.258746,36.515305,,,,운영중,
20251219,SJ_00530,도담동_세종충남대병원,127.2590108,36.5195254,,,,운영중,
20251219,SJ_00531,소담동_새샘701동,127.299658,36.487013,,,,운영중,
20251219,SJ_00532,소담동_새샘703동,127.300345,36.485543,,,,운영중,
20251219,SJ_00533,해밀동_해밀144동,127.267491,36.527971,,,,운영중,
20251219,SJ_00534,해밀동_해밀113동,127.265090,36.524998,,,,운영중,
20251219,SJ_00535,어진동_홈플러스,127.258506,36.506927,,,,운영중,
20251219,SJ_00473,도담동_도램 603동 앞,127.2602942,36.5084806,,,,운영중,
